Sensor id,Day,Date,Hour,PM,Period,Calc,Value
14878,3,,6,PM10,weekly,mean,21.021428571428572
14878,3,,6,PM2.5,weekly,mean,12.857142857142858
14878,3,,7,PM10,weekly,mean,25.711428571428574
14878,3,,7,PM2.5,weekly,mean,17.341428571428573
14878,3,,8,PM10,weekly,mean,21.647142857142857
14878,3,,8,PM2.5,weekly,mean,13.788571428571428
14878,3,,9,PM10,weekly,mean,30.951428571428572
14878,3,,9,PM2.5,weekly,mean,22.295714285714286
14878,3,,10,PM10,weekly,mean,39.32571428571429
14878,3,,10,PM2.5,weekly,mean,30.485714285714288
14878,3,,11,PM10,weekly,mean,81.97571428571429
14878,3,,11,PM2.5,weekly,mean,71.25571428571429
14878,3,,12,PM10,weekly,mean,155.31857142857143
14878,3,,12,PM2.5,weekly,mean,151.17000000000002
14878,3,,13,PM10,weekly,mean,118.22285714285714
14878,3,,13,PM2.5,weekly,mean,111.52428571428571
14878,3,,14,PM10,weekly,mean,99.70285714285716
14878,3,,14,PM2.5,weekly,mean,90.32428571428571
14878,3,,15,PM10,weekly,mean,74.88571428571429
14878,3,,15,PM2.5,weekly,mean,66.00142857142858
14878,3,,16,PM10,weekly,mean,85.49000000000001
14878,3,,16,PM2.5,weekly,mean,76.69714285714285
14878,3,,17,PM10,weekly,mean,133.38
14878,3,,17,PM2.5,weekly,mean,124.88428571428572
14878,3,,18,PM10,weekly,mean,171.01
14878,3,,18,PM2.5,weekly,mean,162.75142857142856
14878,3,,19,PM10,weekly,mean,179.74857142857144
14878,3,,19,PM2.5,weekly,mean,171.74714285714285
14878,3,,20,PM10,weekly,mean,149.45000000000002
14878,3,,20,PM2.5,weekly,mean,143.19857142857143
14878,3,,21,PM10,weekly,mean,134.62285714285716
14878,3,,21,PM2.5,weekly,mean,127.86999999999999
14878,3,,22,PM10,weekly,mean,80.10000000000001
14878,3,,22,PM2.5,weekly,mean,71.44285714285715
14878,3,,23,PM10,weekly,mean,33.53
14878,3,,23,PM2.5,weekly,mean,24.63
14878,4,,0,PM10,weekly,mean,26.868000000000002
14878,4,,0,PM2.5,weekly,mean,19.122
14878,4,,1,PM10,weekly,mean,25.39
14878,4,,1,PM2.5,weekly,mean,17.478
14878,4,,2,PM10,weekly,mean,23.488333333333333
14878,4,,2,PM2.5,weekly,mean,15.786666666666667
14878,4,,3,PM10,weekly,mean,23.843333333333334
14878,4,,3,PM2.5,weekly,mean,15.938333333333333
14878,4,,4,PM10,weekly,mean,24.195000000000004
14878,4,,4,PM2.5,weekly,mean,16.255
14878,4,,5,PM10,weekly,mean,25.55333333333333
14878,4,,5,PM2.5,weekly,mean,17.311666666666667
14878,4,,6,PM10,weekly,mean,26.918333333333333
14878,4,,6,PM2.5,weekly,mean,18.711666666666666
14878,4,,7,PM10,weekly,mean,30.820000000000004
14878,4,,7,PM2.5,weekly,mean,22.40833333333333
14878,4,,8,PM10,weekly,mean,37.19
14878,4,,8,PM2.5,weekly,mean,28.658333333333335
14878,4,,9,PM10,weekly,mean,33.76166666666666
14878,4,,9,PM2.5,weekly,mean,24.668333333333333
14878,4,,10,PM10,weekly,mean,41.96333333333333
14878,4,,10,PM2.5,weekly,mean,31.938333333333333
14878,4,,11,PM10,weekly,mean,61.785000000000004
14878,4,,11,PM2.5,weekly,mean,52.11166666666667
14878,4,,12,PM10,weekly,mean,132.90666666666667
14878,4,,12,PM2.5,weekly,mean,124.49666666666667
14878,4,,13,PM10,weekly,mean,145.33666666666667
14878,4,,13,PM2.5,weekly,mean,138.75833333333333
14878,4,,14,PM10,weekly,mean,142.06166666666667
14878,4,,14,PM2.5,weekly,mean,136.48499999999999
14878,4,,15,PM10,weekly,mean,103.28666666666668
